exercise_name,muscle,GIF_link
Teaser pilates,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Teaser-Pilates.gif
Seated oblique twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Seated-Oblique-Twist.gif
Side bridge,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Side-Bridge.gif
Plank with arm and leg lift,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/04/Plank-with-Arm-and-Leg-Lift.gif
Weighted front plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/04/Weighted-Front-Plank.gif
Cable side bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Side-Bend.gif
Barbell side bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Side-Bend.gif
Barbell seated twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Twist.gif
Bent over twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Bent-Over-Twist.gif
Dumbbell v up,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/10/Dumbbell-V-up.gif
Lever lying crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Lying-Crunch.gif
Twisting hyperextension,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Twisting-Hyperextension.gif
Ab roller crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/12/Ab-Roller-Crunch.gif
Standing cable high to low twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Standing-Cable-High-To-Low-Twist.gif
Standing cable low to high twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/04/Standing-Cable-low-to-high-Twist.gif
Standing cable twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/standing-cable-twist.gif
L sit,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/L-Sit.gif
High knee squat,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/11/High-Knee-Squat.gif
Kettlebell windmill,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Windmill.gif
Kettlebell swings,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Swings.gif
Full crunch machine,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Full-Crunch-Machine.gif
Front plank with arm lift,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Front-Plank-with-Arm-Lift.gif
Abdominal stretch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/abdominal-stretch.gif
Ab straps leg raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ab-Straps-Leg-Raise.gif
Boat pose stretch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/01/Boat-Pose-Stretch.gif
Lever seated twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/10/Lever-Seated-Twist.gif
Inchworm,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/01/Inchworm.gif
Front plank with arm and leg lift,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Front-Plank-With-Arm-And-Leg-Lift.gif
Weighted lying twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/weighted-lying-twist.gif
Swiss ball rollout,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/swiss-ball-rollout.gif
Weighted side bend on stability ball,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Weighted-Side-Bend-on-stability-ball.gif
V up down with stability ball,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/V-Up-Down-with-Stability-ball.gif
Exercise ball frog crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Exercise-Ball-Frog-Crunch.gif
Cable seated cross arm twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/04/Cable-Seated-Cross-Arm-Twist.gif
Burpees,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/burpees.gif
Standing twist machine,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Standing-Twist-Machine.gif
Seated crunch machine,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Seated-Crunch-Machine.gif
Barbell rollout,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Barbell-Rollout.gif
Landmine twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Landmine-Twist.gif
Frog crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/frog-crunch.gif
Ab wheel rollout,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Ab-Wheel-Rollout.gif
Lying upper body rotation,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lying-Upper-Body-Rotation.gif
Bicycle twisting crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/01/Bicycle-Twisting-Crunch.gif
Fish pose matsyasana,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Fish-Pose-Matsyasana.gif
Dead bug,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dead-Bug.gif
4 point tummy vacuum exercise,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/4-Point-Tummy-Vacuum-Exercise.gif
Seated flutter kick,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Flutter-Kick.gif
Seated cable twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Cable-Twist.gif
Bodyweight kneeling sissy squat,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/02/Bodyweight-Kneeling-Sissy-Squat.gif
Bow yoga pose,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bow-Yoga-Pose.gif
Kneeling t spine rotation,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/08/Kneeling-T-spine-Rotation.gif
Standing barbell rollout,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/04/Standing-Barbell-Rollout.gif
Side plank oblique crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/11/Side-Plank-Oblique-Crunch.gif
Medicine ball sit up throw,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/01/Medicine-Ball-Sit-up-Throw.gif
Side bent,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/12/Side-Bent.gif
Leg scissors,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/12/Leg-Scissors.gif
Lying toe touches,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/12/Lying-Toe-Touches.gif
Dumbbell floor wipers,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/06/Dumbbell-Floor-Wipers.gif
Side bridge hip abduction,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Side-Bridge-Hip-Abduction.gif
Cable half kneeling pallof press,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Half-Kneeling-Pallof-Press.gif
Snap jumps,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/SNAP-JUMPS.gif
Side plank leg raises,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Side-Plank-Leg-Raises.gif
Reverse plank kicks,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Reverse-Plank-Kicks.gif
Pike to cobra,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pike-to-Cobra.gif
Bear crawl,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bear-Crawl.gif
High knee skips_cardio,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/High-Knee-Skips_Cardio.gif
Double crunches,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Double-Crunches.gif
Toe reaches,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Toe-Reaches.gif
Sit ups,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Sit-ups.gif
Plank leg lift,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Plank-Leg-Lift.gif
Plank knee to elbow,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/PLANK-KNEE-TO-ELBOW.gif
Russian twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Russian-Twist.gif
Plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/plank.gif
Leg pull in knee ups,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Leg-Pull-In-Knee-ups.gif
Glute bridge ,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Glute-Bridge-.gif
Long arm crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Long-Arm-Crunch.gif
Half wipers,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Half-Wipers.gif
Jackknife sit ups,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Jackknife-Sit-ups.gif
Flutter kicks,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Flutter-Kicks.gif
Standing side bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/09/standing-side-bend.gif
Suspended ab fall out,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/08/Suspended-Ab-Fall-out.gif
Trx mountain climber,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/08/TRX-Mountain-Climber.gif
Side plank knee to elbow ,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/10/Side-Plank-Knee-to-Elbow-.gif
Bodyweight skull crushers,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/02/Bodyweight-Skull-Crushers.gif
Half cross crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Half-Cross-Crunch.gif
Cable seated twist on floor,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cable-Seated-Twist-on-Floor.gif
Butterfly sit up,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Butterfly-Sit-up.gif
Push up with rotation,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/01/push-up-with-rotation.gif
Side plank rotation,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/01/Side-Plank-Rotation.gif
Hell slide,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/08/Hell-Slide.gif
Half frog pose ardha bhekasana,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/12/Half-Frog-Pose-ardha-bhekasana.gif
Medicine ball crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Medicine-Ball-Crunch.gif
Kettlebell figure 8,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/09/Kettlebell-Figure-8.gif
Ball russian twist throw with partner,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/09/Ball-Russian-Twist-throw-with-partner.gif
Seated ab crunch machine,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/10/Seated-Ab-Crunch-Machine.gif
Dumbbell windmill,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Windmill.gif
Side lying feet raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/06/Side-Lying-Feet-Raise.gif
Dhanurasana rocking bow pose,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Dhanurasana-Rocking-Bow-Pose.gif
Seated twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Seated-twist.gif
Twist,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Twist.gif
Twist down up,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Twist-down-up.gif
Standing side bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Standing-Side-Bend.gif
Lying leg and hip raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Lying-leg-and-hip-raise.gif
Jack knife sit up,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Jack-knife-sit-up.gif
Down to up twist gymstick,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Down-to-Up-Twist-Gymstick.gif
Bicycle crunch gymstick,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bicycle-Crunch-Gymstick.gif
Plank jacks extended leg,Abs,https://fitnessprogramer.com/wp-content/uploads/2015/06/Plank-Jacks-Extended-Leg.gif
Rowing machine,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Rowing-Machine.gif
Front pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Front-Pulldown.gif
Pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pull-up.gif
Cable rear pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/08/Cable-Rear-Pulldown.gif
Lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Lat-Pulldown.gif
Seated cable row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Cable-Row.gif
Barbell bent over row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bent-Over-Row.gif
Cable straight arm pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Straight-Arm-Pulldown.gif
Rope climb,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Rope-Climb.gif
Lever t bar row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Lever-T-bar-Row.gif
Dumbbell row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Row.gif
Bent over dumbbell row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Dumbbell-Row.gif
Dumbbell bent over reverse row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/10/Dumbbell-Bent-Over-Reverse-Row.gif
Reverse lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Reverse-Lat-Pulldown.gif
Muscle up vertical bar,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Muscle-up-vertical-bar.gif
Seated row machine,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Row-Machine.gif
One arm cable row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/One-arm-Cable-Row.gif
Reverse grip barbell row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Reverse-Grip-Barbell-Row.gif
Barbell deadlift,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Deadlift.gif
Barbell romanian deadlift,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Romanian-Deadlift.gif
Upper back stretch,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Upper-Back-Stretch.gif
Kneeling high pulley row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-High-Pulley-Row.gif
Barbell sumo deadlift,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Sumo-Deadlift.gif
Half kneeling lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Half-Kneeling-Lat-Pulldown.gif
Dumbbell straight leg deadlift,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Straight-Leg-Deadlift.gif
Across chest shoulder stretch,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Across-Chest-Shoulder-Stretch.gif
Standing reach up back rotation stretch,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Standing-Reach-Up-Back-rotation-Stretch.gif
Shoulder stretch behind back,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Shoulder-Stretch-Behind-Back.gif
Smith machine bent over row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Bent-Over-Row.gif
Incline reverse grip dumbbell row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Incline-Reverse-Grip-Dumbbell-Row.gif
Barbell bent arm pullover,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Bent-Arm-Pullover.gif
Lying extension pullover,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lying-Extension-Pullover.gif
Weighted pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Weighted-Pull-up.gif
Reverse grip pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Reverse-grip-Pull-up.gif
Close grip chin up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Close-Grip-Chin-Up.gif
Assisted pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Assisted-Pull-up.gif
Table inverted row,Back,https://fitnessprogramer.com/wp-content/uploads/2022/04/Table-Inverted-Row.gif
Cable one arm lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Cable-One-Arm-Lat-Pulldown.gif
Reverse grip machine row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/08/Reverse-Grip-Machine-Row.gif
Close grip cable row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/close-grip-cable-row.gif
Rope straight arm pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Rope-Straight-Arm-Pulldown.gif
V bar lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/V-bar-Lat-Pulldown.gif
One arm barbell row ,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/One-Arm-Barbell-Row-.gif
T bar rows,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/t-bar-rows.gif
Incline cable row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Incline-Cable-Row.gif
Cable bent over row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Bent-Over-Row.gif
Standing side bend stretch,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Standing-Side-Bend-Stretch.gif
Back pec stretch,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Back-Pec-Stretch.gif
Double cable neutral grip lat pulldown on floor,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Double-Cable-Neutral-Grip-Lat-Pulldown-On-Floor.gif
Incline barbell row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Incline-Barbell-Row.gif
Kneeling single arm high pulley row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-Single-Arm-High-Pulley-Row.gif
Upside down pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Upside-Down-Pull-up.gif
Swimming,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Swimming.gif
Brachialis pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Brachialis-Pull-up.gif
Close grip lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Close-Grip-Lat-Pulldown.gif
Seated cable rope row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Seated-Cable-Rope-Row.gif
Cable seated pullover,Back,https://fitnessprogramer.com/wp-content/uploads/2021/10/Cable-Seated-Pullover.gif
Scapular protraction and retraction,Back,https://fitnessprogramer.com/wp-content/uploads/2021/10/Scapular-Protraction-and-Retraction.gif
Ring inverted row,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Ring-Inverted-Row.gif
Inverted row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Inverted-Row.gif
Lever cable rear pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/08/Lever-Cable-Rear-Pulldown.gif
Shotgun row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/shotgun-row.gif
Elbow reverse push up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/08/Elbow-Reverse-Push-Up.gif
Weighted one arm pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Weighted-One-Arm-Pull-up.gif
Cable crossover lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Cable-Crossover-Lat-Pulldown.gif
One arm landmine row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/10/One-Arm-Landmine-Row.gif
Lever reverse t bar row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/08/Lever-Reverse-T-Bar-Row.gif
Kettlebell bent over row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Kettlebell-Bent-Over-Row.gif
Full range of motion lat pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2022/04/Full-Range-Of-Motion-Lat-Pulldown.gif
Chin up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/03/Chin-Up.gif
Seated toe touches,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Seated-Toe-Touches.gif
L pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2023/06/L-Pull-Up.gif
Back lever,Back,https://fitnessprogramer.com/wp-content/uploads/2023/06/Back-Lever.gif
Swing 360,Back,https://fitnessprogramer.com/wp-content/uploads/2023/06/Swing-360.gif
Front lever pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2023/06/Front-Lever-Pull-up.gif
Stretch with towel,Back,https://fitnessprogramer.com/wp-content/uploads/2021/10/Stretch-With-Towel.gif
Roll upper back,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Roll-Upper-Back.gif
Roll rhomboids,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Roll-Rhomboids.gif
Foam roller upper back,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Upper-Back.gif
Foam roller lat stretch,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Lat-Stretch.gif
Lying upper body rotation,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lying-Upper-Body-Rotation.gif
Lever pullover plate loaded,Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lever-Pullover-plate-loaded.gif
One arm chin up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/One-Arm-Chin-Up.gif
Scapula pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Scapula-Pull-up.gif
Archer pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Archer-Pull-up.gif
Jumping pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/jumping-pull-up.gif
Commander pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/commander-pull-up.gif
Behind the neck pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Behind-The-Neck-Pull-up.gif
Cable one arm pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Cable-One-Arm-Pulldown.gif
Barbell decline bent arm pullover,Back,https://fitnessprogramer.com/wp-content/uploads/2022/01/Barbell-Decline-Bent-Arm-Pullover.gif
Isometric pull up,Back,https://fitnessprogramer.com/wp-content/uploads/2022/08/Isometric-Pull-Up.gif
Wide grip barbell bent over row plus,Back,https://fitnessprogramer.com/wp-content/uploads/2023/02/Wide-Grip-Barbell-Bent-Over-Row-Plus.gif
Wide grip alternate barbell bent over row plus,Back,https://fitnessprogramer.com/wp-content/uploads/2023/02/Wide-Grip-Alternate-Barbell-Bent-Over-Row-Plus.gif
Wall slide,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/wall-slide.gif
